kind,class,ref_addr,size,instr_structural,instr_offset_only,instr_const_only,name
FUNC,const,0x2016b4b4,348,0,0,5,"Env::advance(EnvParams const&, int, int) [clone .part.0]"
FUNC,struct+const,0x2006c0c8,88,0,2,2,deluge::hid::display::Starfield::scatter() [clone .constprop.0]
FUNC,struct,0x2006d608,60,0,4,0,"UITimerManager::setTimer(TimerName, long) [clone .constprop.0]"
FUNC,struct+const,0x2006f5e8,48,0,2,2,MIDIDeviceManager::recountSmallestMPEZonesForCable(MIDICable&) [clone .part.0] [clone .isra.0]
FUNC,struct,0x200717ac,82,0,4,0,NumericLayerBasicText::isNowOnTop()
FUNC,struct,0x20075c34,44,0,4,0,deluge::hid::display::OLED::removePopup()
FUNC,struct,0x20075ccc,62,0,4,0,deluge::hid::display::Screensaver::settingsChanged()
FUNC,struct+const,0x20076d60,102,0,3,1,usb_hhub_specified_path_wait
FUNC,struct+const,0x20077164,160,0,2,2,StemExport::disarmAllClipsForStemExport() [clone .constprop.0]
FUNC,struct+const,0x2007b814,302,0,3,1,"PadLEDs::prepareColour(long, long, RGB)"
FUNC,struct,0x2007bbf0,80,0,4,0,"PadLEDs::horizontal::setupScroll(signed char, unsigned char, bool, long)"
FUNC,struct,0x2007edc0,140,0,4,0,SessionView::potentiallyUpdateCompressorLEDs() [clone .part.0]
FUNC,struct+const,0x200808f8,180,0,3,1,TaskManager::runHighestPriTask() [clone .constprop.0]
FUNC,struct,0x20088f4c,196,0,4,0,ClipView::getTickSquare()
FUNC,struct,0x2008b4c8,170,0,4,0,usb_hhub_port_detach
FUNC,struct,0x2008bb44,176,0,4,0,usb_hstd_mgr_suspend.isra.0
FUNC,struct+const,0x20093000,128,0,3,1,usb_hhub_new_connect.constprop.0.isra.0
FUNC,struct+const,0x20095b94,60,0,2,2,initiateSelectingOled
FUNC,struct,0x20096b38,438,0,4,0,AudioEngine::tickSongFinalizeWindows(unsigned int&) [clone .part.0]
FUNC,struct+const,0x20099594,142,0,3,1,"Stutterer::getStutterRate(ParamManager*, long, unsigned long) [clone .constprop.0]"
FUNC,struct+const,0x2009aeec,624,0,2,2,"SessionView::renderSidebar(unsigned long, RGB (*) [18], unsigned char (*) [18])"
FUNC,struct+const,0x200a08b0,136,0,3,1,"SampleRecorder::totalSampleLengthNowKnown(unsigned long, unsigned long)"
FUNC,struct+const,0x200a2500,776,0,3,1,"Sound::reassessRenderSkippingStatus(ModelStackWithSoundFlags*, bool)"
FUNC,struct+const,0x200a2f04,356,0,2,2,Sound::renderingVoicesInStereo(ModelStackWithSoundFlags*)
FUNC,struct+const,0x200a7328,92,0,3,1,"InstrumentClipView::commandSaveKitRow(InstrumentClip*, Output*, OutputType, long) [clone .part.0]"
FUNC,struct,0x200a9544,140,0,4,0,yieldingRoutineWithTimeoutForSD
FUNC,struct,0x200b48a0,52,0,4,0,etl::ivector<FavouritesManager::Favourite>::initialise() [clone .constprop.0]
FUNC,struct+const,0x200b61d8,56,0,2,2,"deluge::memory::external_allocator<SysExDataEntry*>::deallocate(SysExDataEntry**, unsigned int) [clone .isra.0]"
FUNC,struct+const,0x200b6210,56,0,2,2,"deluge::memory::external_allocator<deluge::l10n::String>::deallocate(deluge::l10n::String*, unsigned int) [clone .isra.0]"
FUNC,struct+const,0x200b6268,62,0,2,2,"std::_Vector_base<MenuItem*, deluge::memory::external_allocator<MenuItem*> >::~_Vector_base()"
FUNC,struct+const,0x200b6304,62,0,2,2,"std::_Vector_base<std::basic_string_view<char, std::char_traits<char> >, deluge::memory::external_allocator<std::basic_string_view<char, std::char_traits<char> > > >::~_Vector_base()"
FUNC,struct+const,0x200b64e4,84,0,2,2,deluge::gui::menu_item::Selection::size()
FUNC,struct+const,0x200b6538,112,0,2,2,deluge::gui::menu_item::Selection::getShortOption(StringBuf&)
FUNC,struct+const,0x200b65a8,112,0,2,2,deluge::gui::menu_item::Selection::getNotificationValue(StringBuf&)
FUNC,struct+const,0x200b71b8,158,0,2,2,deluge::gui::menu_item::Selection::drawValue()
FUNC,struct+const,0x200cdae8,196,0,3,1,Browser::backButtonAction()
FUNC,struct+const,0x200d3350,144,0,2,2,deluge::gui::menu_item::submenu::ModFxHorizontalMenu::getTitle() const
FUNC,const,0x200dc53c,88,0,0,4,CVInstrument::~CVInstrument()
FUNC,const,0x200dc594,96,0,0,4,non-virtual thunk to CVInstrument::~CVInstrument()
FUNC,const,0x200dc5f4,94,0,0,4,CVInstrument::~CVInstrument()
FUNC,const,0x200dc654,102,0,0,4,non-virtual thunk to CVInstrument::~CVInstrument()
FUNC,struct+const,0x20100b6c,216,0,3,1,Song::addInstrumentsToFileItems(OutputType)
FUNC,struct+const,0x20106638,248,0,2,2,"TimelineView::initiateXZoom(long, long, unsigned long)"
FUNC,struct+const,0x20113564,2134,0,3,1,disk_write.isra.0
FUNC,struct+const,0x20118e50,50,0,3,1,"smSysex::sendMsg(MIDICable&, JsonSerializer&) [clone .constprop.0]"
FUNC,struct+const,0x2011b90c,680,0,3,1,Browser::predictExtendedText()
FUNC,struct,0x20122148,58,0,4,0,Browser::close()
FUNC,struct+const,0x201221e0,288,0,2,2,LoadMidiDeviceDefinitionUI::enterKeyPress()
FUNC,struct+const,0x2012e840,426,0,1,3,deluge::gui::ui::keyboard::KeyboardScreen::selectEncoderAction(signed char)
FUNC,struct+const,0x20130b94,174,0,2,2,AudioEngine::doRecorderCardRoutines()
